season,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,games_played_post_asg,games_played_pre_asg,win_pct_post_asg,win_pct_pre_asg,wins_post_asg,wins_pre_asg,season_length,projected_wins_before_asg,actual_wins,projection_difference,post_asg_win_pct_drop,avg_starter_minutes_per_game_post_asg,avg_starter_minutes_per_game_pre_asg,avg_starter_minutes_per_player_post_asg,avg_starter_minutes_per_player_pre_asg,total_starter_minutes_post_asg,total_starter_minutes_pre_asg,starter_minutes_change_per_game,avg_players_used_post_asg,avg_players_used_pre_asg,avg_unique_lineups_post_asg,avg_unique_lineups_pre_asg,max_lineups_in_game_post_asg,max_lineups_in_game_pre_asg,players_used_change,lineups_used_change,win_projection_drop,starter_minutes_drop,players_used_increase,lineup_experimentation_increase,raw_tanking_score,lottery_candidate,tanking_score,score_note
2022-23,1610612737,ATL,Atlanta Hawks,23.0,59.0,0.5217391304347826,0.4915254237288136,12.0,29.0,82,40.30508474576271,41.0,0.6949152542372872,0.030213706705969012,156.97608695652173,165.9138418079096,31.395217391304342,33.18276836158192,3610.45,9788.916666666666,-8.937754851387865,11.2,10.456140350877194,12.5,13.210526315789474,15.0,22.0,0.7438596491228058,-0.7105263157894743,-0.6949152542372872,8.937754851387865,0.7438596491228058,-0.7105263157894743,8.27617293048391,True,8.27617293048391,Included in tanking score
2020-21,1610612765,DET,Detroit Pistons,36.0,36.0,0.2777777777777778,0.2777777777777778,10.0,10.0,72,20.0,20.0,0.0,0.0,147.67268518518517,155.575,29.534537037037037,31.115,5316.216666666666,5600.7,-7.902314814814815,10.8,10.772727272727272,13.8,13.727272727272728,19.0,19.0,0.0272727272727273,0.072727272727274,-0.0,7.902314814814815,0.0272727272727273,0.072727272727274,8.002314814814817,True,8.002314814814817,Included in tanking score
2024-25,1610612756,PHX,Phoenix Suns,28.0,54.0,0.3571428571428571,0.4814814814814814,10.0,26.0,82,39.481481481481474,36.0,-3.481481481481474,-0.1243386243386243,157.4011904761905,162.075,31.480238095238096,32.415,4407.233333333334,8752.05,-4.673809523809496,11.444444444444445,10.555555555555555,15.88888888888889,17.11111111111111,22.0,26.0,0.8888888888888893,-1.2222222222222214,3.481481481481474,4.673809523809496,0.8888888888888893,-1.2222222222222214,7.821957671957637,True,7.821957671957637,Included in tanking score
2020-21,1610612753,ORL,Orlando Magic,36.0,36.0,0.2222222222222222,0.3611111111111111,8.0,13.0,72,26.0,21.0,-5.0,-0.1388888888888889,152.1810185185185,154.09305555555557,30.436203703703704,30.818611111111117,5478.516666666666,5547.35,-1.9120370370370663,10.047619047619047,10.1,13.095238095238097,12.4,21.0,16.0,-0.0523809523809521,0.6952380952380945,5.0,1.9120370370370663,-0.0523809523809521,0.6952380952380945,7.554894179894209,True,7.554894179894209,Included in tanking score
2021-22,1610612747,LAL,Los Angeles Lakers,24.0,58.0,0.25,0.4655172413793103,6.0,27.0,82,38.172413793103445,33.0,-5.172413793103445,-0.21551724137931028,159.03819444444443,161.99137931034485,31.80763888888889,32.398275862068964,3816.9166666666665,9395.5,-2.953184865900397,10.142857142857142,10.1875,16.857142857142858,17.5625,24.0,25.0,-0.0446428571428576,-0.7053571428571423,5.172413793103445,2.953184865900397,-0.0446428571428576,-0.7053571428571423,7.375598659003842,True,7.375598659003842,Included in tanking score
2024-25,1610612766,CHA,Charlotte Hornets,30.0,52.0,0.2,0.25,6.0,13.0,82,20.5,19.0,-1.5,-0.04999999999999999,149.80444444444444,157.07371794871796,29.96088888888889,31.414743589743587,4494.133333333333,8167.833333333333,-7.269273504273514,10.22222222222222,10.615384615384617,16.333333333333332,17.692307692307693,19.0,25.0,-0.3931623931623935,-1.3589743589743613,1.5,7.269273504273514,-0.3931623931623935,-1.3589743589743613,7.017136752136759,True,7.017136752136759,Included in tanking score
2025-26,1610612754,IND,Indiana Pacers,27.0,55.0,0.1481481481481481,0.2727272727272727,4.0,15.0,82,22.363636363636363,19.0,-3.3636363636363633,-0.1245791245791246,147.62777777777777,152.03533333333334,29.525555555555552,30.407066666666665,3985.95,3800.883333333333,-4.407555555555575,10.36842105263158,11.48076923076923,18.473684210526315,18.365384615384617,25.0,26.0,-1.1123481781376512,0.1082995951416982,3.3636363636363633,4.407555555555575,-1.1123481781376512,0.1082995951416982,6.767143336195986,True,6.767143336195986,Included in tanking score
2023-24,1610612737,ATL,Atlanta Hawks,27.0,55.0,0.4444444444444444,0.4363636363636363,12.0,24.0,82,35.781818181818174,36.0,0.2181818181818258,0.008080808080808133,164.07407407407408,168.94848484848484,32.81481481481482,33.78969696969697,4430.0,9292.166666666666,-4.874410774410762,9.851851851851851,9.690909090909091,13.333333333333334,11.78181818181818,18.0,18.0,0.1609427609427598,1.5515151515151526,-0.2181818181818258,4.874410774410762,0.1609427609427598,1.5515151515151526,6.368686868686849,True,6.368686868686849,Included in tanking score
2024-25,1610612762,UTA,Utah Jazz,28.0,54.0,0.1428571428571428,0.2407407407407407,4.0,13.0,82,19.740740740740737,17.0,-2.740740740740737,-0.0978835978835979,150.71964285714284,154.13734567901233,30.143928571428567,30.827469135802467,4220.15,8323.416666666666,-3.417702821869483,10.125,10.333333333333334,14.5,14.351851851851851,19.0,22.0,-0.2083333333333339,0.1481481481481488,2.740740740740737,3.417702821869483,-0.2083333333333339,0.1481481481481488,6.098258377425035,True,6.098258377425035,Included in tanking score
2023-24,1610612761,TOR,Toronto Raptors,27.0,55.0,0.2222222222222222,0.3454545454545454,6.0,19.0,82,28.327272727272724,25.0,-3.3272727272727245,-0.1232323232323232,158.87716049382718,162.73303030303032,31.77543209876543,32.54660606060607,4289.683333333333,8950.316666666668,-3.855869809203142,10.185185185185183,10.563636363636364,14.407407407407408,15.709090909090907,20.0,23.0,-0.3784511784511792,-1.3016835016835024,3.3272727272727245,3.855869809203142,-0.3784511784511792,-1.3016835016835024,5.503007856341185,True,5.503007856341185,Included in tanking score
2025-26,1610612751,BKN,Brooklyn Nets,29.0,53.0,0.1724137931034483,0.2830188679245283,5.0,15.0,82,23.20754716981132,20.0,-3.2075471698113205,-0.11060507482108001,142.151724137931,144.5525641025641,28.430344827586204,28.91051282051282,4122.4,3758.366666666667,-2.400839964633093,10.909090909090908,10.72,13.136363636363637,13.82,17.0,23.0,0.1890909090909076,-0.6836363636363636,3.2075471698113205,2.400839964633093,0.1890909090909076,-0.6836363636363636,5.113841679898957,True,5.113841679898957,Included in tanking score
2025-26,1610612741,CHI,Chicago Bulls,27.0,55.0,0.2592592592592592,0.4363636363636363,7.0,24.0,82,35.781818181818174,31.0,-4.781818181818174,-0.1771043771043771,152.55,151.53397435897435,30.51,30.30679487179487,4118.85,3939.883333333333,1.0160256410256636,10.36842105263158,10.62,21.57894736842105,20.14,27.0,28.0,-0.2515789473684204,1.4389473684210508,4.781818181818174,-1.0160256410256636,-0.2515789473684204,1.4389473684210508,4.953160961845141,True,4.953160961845141,Included in tanking score
