season,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,avg_players_used_post_asg,avg_players_used_pre_asg,avg_unique_lineups_post_asg,avg_unique_lineups_pre_asg,max_lineups_in_game_post_asg,max_lineups_in_game_pre_asg,players_used_change,lineups_used_change
2020-21,1610612757,POR,Portland Trail Blazers,10.32,9.619047619047619,13.36,13.0,19.0,17.0,0.7009523809523817,0.35999999999999943
2020-21,1610612758,SAC,Sacramento Kings,10.304347826086957,9.8,14.782608695652174,13.0,20.0,20.0,0.5043478260869563,1.7826086956521738
2020-21,1610612759,SAS,San Antonio Spurs,11.5,10.894736842105264,15.791666666666666,15.263157894736842,21.0,18.0,0.6052631578947363,0.5285087719298236
2020-21,1610612760,OKC,Oklahoma City Thunder,9.833333333333334,10.0,13.166666666666666,12.565217391304348,18.0,18.0,-0.16666666666666607,0.6014492753623184
2020-21,1610612761,TOR,Toronto Raptors,9.76,11.045454545454545,13.52,15.863636363636363,20.0,19.0,-1.2854545454545452,-2.3436363636363637
2020-21,1610612762,UTA,Utah Jazz,11.461538461538462,11.333333333333334,10.76923076923077,11.666666666666666,16.0,19.0,0.12820512820512775,-0.897435897435896
2020-21,1610612763,MEM,Memphis Grizzlies,10.925925925925926,10.157894736842104,14.37037037037037,16.63157894736842,20.0,20.0,0.7680311890838212,-2.261208576998051
2020-21,1610612764,WAS,Washington Wizards,10.923076923076923,11.238095238095237,17.46153846153846,17.095238095238095,25.0,23.0,-0.3150183150183139,0.366300366300365
2020-21,1610612765,DET,Detroit Pistons,10.8,10.772727272727273,13.8,13.727272727272727,19.0,19.0,0.027272727272727337,0.07272727272727408
2020-21,1610612766,CHA,Charlotte Hornets,11.0,9.578947368421053,17.23076923076923,17.0,21.0,22.0,1.421052631578947,0.23076923076922995
2021-22,1610612737,ATL,Atlanta Hawks,9.833333333333334,11.041666666666666,13.833333333333334,12.854166666666666,16.0,20.0,-1.2083333333333321,0.9791666666666679
2021-22,1610612738,BOS,Boston Celtics,10.666666666666666,10.844444444444445,13.444444444444445,14.311111111111112,17.0,20.0,-0.17777777777777892,-0.8666666666666671
2021-22,1610612739,CLE,Cleveland Cavaliers,11.0,10.361702127659575,16.46153846153846,15.680851063829786,21.0,24.0,0.6382978723404253,0.7806873977086735
2021-22,1610612740,NOP,New Orleans Pelicans,11.083333333333334,10.695652173913043,14.583333333333334,15.521739130434783,19.0,23.0,0.3876811594202909,-0.9384057971014492
2021-22,1610612741,CHI,Chicago Bulls,10.0,10.458333333333334,13.875,15.3125,19.0,21.0,-0.4583333333333339,-1.4375
2021-22,1610612742,DAL,Dallas Mavericks,11.0,11.520833333333334,14.272727272727273,16.854166666666668,18.0,26.0,-0.5208333333333339,-2.5814393939393945
2021-22,1610612743,DEN,Denver Nuggets,10.866666666666667,11.10204081632653,13.333333333333334,13.081632653061224,17.0,25.0,-0.23537414965986336,0.25170068027211023
2021-22,1610612744,GSW,Golden State Warriors,10.384615384615385,11.625,16.923076923076923,17.166666666666668,21.0,26.0,-1.240384615384615,-0.2435897435897445
2021-22,1610612745,HOU,Houston Rockets,10.384615384615385,10.98,11.076923076923077,14.92,17.0,22.0,-0.5953846153846154,-3.8430769230769233
2021-22,1610612746,LAC,LA Clippers,10.2,10.62,12.4,15.1,15.0,21.0,-0.41999999999999993,-2.6999999999999993
2021-22,1610612747,LAL,Los Angeles Lakers,10.142857142857142,10.1875,16.857142857142858,17.5625,24.0,25.0,-0.04464285714285765,-0.7053571428571423
2021-22,1610612748,MIA,Miami Heat,10.555555555555555,10.0,11.0,14.369565217391305,13.0,21.0,0.5555555555555554,-3.3695652173913047
2021-22,1610612749,MIL,Milwaukee Bucks,10.357142857142858,10.666666666666666,19.785714285714285,20.041666666666668,26.0,30.0,-0.3095238095238084,-0.25595238095238315
2021-22,1610612750,MIN,Minnesota Timberwolves,11.6875,11.347826086956522,16.5,16.608695652173914,21.0,22.0,0.3396739130434785,-0.10869565217391397
2021-22,1610612751,BKN,Brooklyn Nets,10.0,10.75,15.272727272727273,15.568181818181818,19.0,23.0,-0.75,-0.29545454545454497
2021-22,1610612752,NYK,New York Knicks,9.363636363636363,10.58695652173913,13.363636363636363,12.478260869565217,16.0,17.0,-1.2233201581027675,0.8853754940711465
2021-22,1610612753,ORL,Orlando Magic,10.11111111111111,10.224489795918368,12.0,14.673469387755102,14.0,22.0,-0.1133786848072571,-2.6734693877551017
2021-22,1610612754,IND,Indiana Pacers,9.3,10.63265306122449,17.1,16.857142857142858,21.0,22.0,-1.3326530612244891,0.24285714285714377
2021-22,1610612755,PHI,Philadelphia 76ers,10.071428571428571,10.155555555555555,14.5,14.577777777777778,17.0,25.0,-0.08412698412698383,-0.0777777777777775
2021-22,1610612756,PHX,Phoenix Suns,10.692307692307692,10.4,12.76923076923077,13.622222222222222,18.0,21.0,0.29230769230769127,-0.8529914529914517
2021-22,1610612757,POR,Portland Trail Blazers,10.2,10.571428571428571,14.2,13.387755102040817,17.0,19.0,-0.3714285714285719,0.8122448979591823
2021-22,1610612758,SAC,Sacramento Kings,9.833333333333334,10.44,13.25,14.92,18.0,23.0,-0.6066666666666656,-1.67
2021-22,1610612759,SAS,San Antonio Spurs,10.571428571428571,11.392156862745098,17.571428571428573,17.88235294117647,22.0,25.0,-0.8207282913165272,-0.31092436974789806
2021-22,1610612760,OKC,Oklahoma City Thunder,8.5,11.26086956521739,12.75,17.17391304347826,20.0,25.0,-2.7608695652173907,-4.423913043478262
2021-22,1610612761,TOR,Toronto Raptors,10.7,10.023255813953488,12.4,14.046511627906977,15.0,20.0,0.6767441860465109,-1.6465116279069765
2021-22,1610612762,UTA,Utah Jazz,10.0,10.791666666666666,11.181818181818182,12.395833333333334,18.0,19.0,-0.7916666666666661,-1.2140151515151523
2021-22,1610612763,MEM,Memphis Grizzlies,10.916666666666666,11.46808510638298,14.416666666666666,15.680851063829786,18.0,24.0,-0.5514184397163131,-1.2641843971631204
2021-22,1610612764,WAS,Washington Wizards,10.307692307692308,10.840909090909092,13.923076923076923,15.113636363636363,17.0,21.0,-0.5332167832167833,-1.19055944055944
2021-22,1610612765,DET,Detroit Pistons,9.636363636363637,10.53191489361702,12.727272727272727,14.127659574468085,20.0,20.0,-0.8955512572533841,-1.4003868471953584
2021-22,1610612766,CHA,Charlotte Hornets,11.142857142857142,10.12,16.0,15.28,21.0,21.0,1.0228571428571431,0.7200000000000006
2022-23,1610612737,ATL,Atlanta Hawks,11.2,10.456140350877194,12.5,13.210526315789474,15.0,22.0,0.7438596491228058,-0.7105263157894743
2022-23,1610612738,BOS,Boston Celtics,11.0,10.4,14.0,14.309090909090909,18.0,23.0,0.5999999999999996,-0.30909090909090864
2022-23,1610612739,CLE,Cleveland Cavaliers,10.0,9.982758620689655,14.75,16.362068965517242,18.0,25.0,0.017241379310345195,-1.612068965517242
2022-23,1610612740,NOP,New Orleans Pelicans,10.2,10.436363636363636,13.0,16.90909090909091,15.0,25.0,-0.23636363636363633,-3.90909090909091
2022-23,1610612741,CHI,Chicago Bulls,11.181818181818182,10.178571428571429,12.727272727272727,15.071428571428571,16.0,25.0,1.0032467532467528,-2.3441558441558445
2022-23,1610612742,DAL,Dallas Mavericks,10.6,10.807017543859649,14.4,14.929824561403509,18.0,20.0,-0.20701754385964932,-0.5298245614035082
2022-23,1610612743,DEN,Denver Nuggets,10.875,11.0,10.75,13.267857142857142,15.0,18.0,-0.125,-2.5178571428571423
2022-23,1610612744,GSW,Golden State Warriors,11.125,10.272727272727273,18.875,17.10909090909091,22.0,23.0,0.8522727272727266,1.7659090909090907
2022-23,1610612745,HOU,Houston Rockets,10.0,11.071428571428571,12.0,15.410714285714286,14.0,24.0,-1.0714285714285712,-3.4107142857142865
2022-23,1610612746,LAC,LA Clippers,11.2,10.559322033898304,11.4,14.830508474576272,15.0,20.0,0.6406779661016948,-3.4305084745762713
2022-23,1610612747,LAL,Los Angeles Lakers,10.777777777777779,10.472727272727273,16.444444444444443,17.272727272727273,20.0,27.0,0.3050505050505059,-0.8282828282828305
2022-23,1610612748,MIA,Miami Heat,10.625,9.12280701754386,12.125,12.771929824561404,14.0,21.0,1.5021929824561404,-0.6469298245614041
2022-23,1610612749,MIL,Milwaukee Bucks,11.7,10.943396226415095,20.6,20.79245283018868,26.0,26.0,0.7566037735849047,-0.1924528301886781
2022-23,1610612750,MIN,Minnesota Timberwolves,9.9,10.724137931034482,15.2,16.862068965517242,21.0,26.0,-0.8241379310344819,-1.6620689655172427
